Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3305303028,-102.779566,48.0532174,209098,Simmental 1-21H,4367,Simmental - Tank 4,4,404.61191,1.685882958,21,153N,094W,MC KENZIE
"Continental Resources, Inc.",3305300769,-102.8789878,48.0358614,209133,Sugar Butte #1,4298,Sugar Butte 1 - Tank 1,1,400.37856,1.668244,34,153N,095W,MC KENZIE
"Continental Resources, Inc.",3305300769,-102.8789878,48.0358614,209133,Sugar Butte #1,4299,Sugar Butte 1 - Tank 2,2,400.37856,1.668244,34,153N,095W,MC KENZIE
"Continental Resources, Inc.",3305300771,-102.8850444,48.0290283,209134,Sugar Butte #2,4303,Sugar Butte 2 - 19679,1,407.71848,1.698827,34,153N,095W,MC KENZIE
"Continental Resources, Inc.",3305300771,-102.8850444,48.0290283,209134,Sugar Butte #2,4302,Sugar Butte 2 - 19389,2,402.0084,1.675035,34,153N,095W,MC KENZIE
"Continental Resources, Inc.",3305300771,-102.8850444,48.0290283,209134,Sugar Butte #2,4304,Sugar Butte 2 - 77387,3,400.0032,1.66668,34,153N,095W,MC KENZIE
"Continental Resources, Inc.",3302500962,-102.9014609,47.5447855,209160,Hawkinson 1-22H,4453,Hawkinson - Tank 1,1,404.55786,1.68565775,22,147N,096W,DUNN
"Continental Resources, Inc.",3302500962,-102.9014609,47.5447855,209160,Hawkinson 1-22H,4454,Hawkinson - Tank 2,2,404.66471,1.686102958,22,147N,096W,DUNN
"Continental Resources, Inc.",3302500962,-102.9014609,47.5447855,209160,Hawkinson 1-22H,4455,Hawkinson - Tank 3,3,404.71751,1.686322958,22,147N,096W,DUNN
"Continental Resources, Inc.",3302300573,-103.1079285,48.6906507,209184,Fortier 1-17H,4467,Fortier - Tank 1,1,404.55786,1.68565775,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300573,-103.1079285,48.6906507,209184,Fortier 1-17H,4468,Fortier - Tank 2,2,404.55786,1.68565775,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300573,-103.1079285,48.6906507,209184,Fortier 1-17H,4469,Fortier - Tank 3,3,404.50506,1.68543775,17,160N,096W,DIVIDE
"Continental Resources, Inc.",3302300576,-103.0760355,48.7776889,209197,Otis 1-13H,4530,Otis 1 - Tank 1,1,404.77031,1.686542958,13,161N,096W,DIVIDE
"Continental Resources, Inc.",3302300576,-103.0760355,48.7776889,209197,Otis 1-13H,4531,Otis 1 - Tank 2,2,404.66471,1.686102958,13,161N,096W,DIVIDE
